States,Number of hospitals in public sector,Number of hospitals in private sector,Total
Lakshadweep,15,6,21
Dadra & NagarHaveli,31,16,47
Daman And Diu,12,51,63
Andaman NicobarIslands,54,11,65
Manipur,71,18,90
Sikkim,78,20,98
Mizoram,100,25,125
Nagaland,94,34,128
Arunachal Pradesh,120,11,131
Goa,151,79,229
Tripura,221,12,233
Puducherry,178,80,259
Meghalaya,223,39,262
Chandigarh,188,94,282
Jammu And Kashmir,365,35,400
Himachal Pradesh,620,182,802
Chhattisgarh,471,401,871
Uttarakhand,426,767,1192
Assam,857,352,1209
Odisha,926,357,1282
Jharkhand,539,786,1325
Bihar,583,960,1543
Haryana,562,1245,1807
Delhi,1219,754,1973
Punjab,897,2153,3050
Gujarat,1009,2234,3243
Madhya Pradesh,1555,1692,3247
Andhra Pradesh,1157,3005,4162
Rajasthan,2353,2306,4659
Kerala,1900,3061,4961
Telangana,1049,3947,4996
West Bengal,3928,1748,5677
Tamil Nadu,3877,3892,7769
Maharashtra,2572,9015,11587
Karnataka,3486,9619,13105
Uttar Pradesh,3813,10257,14070
Ladakh,0,0,0
