States,Number of hospitals in public sector,Number of hospitals in private sector,Total
Lakshadweep,8,3,11
Dadra & Nagar Haveli,15,8,24
Daman And Diu,6,25,31
Andaman Nicobar Islands,27,5,32
Manipur,36,9,45
Sikkim,39,10,49
Mizoram,50,12,62
Nagaland,47,17,64
Arunachal Pradesh,60,6,66
Goa,75,39,115
Tripura,111,6,117
Puducherry,89,40,129
Meghalaya,111,20,131
Chandigarh,94,47,141
Jammu And Kashmir,182,18,200
Himachal Pradesh,310,91,401
Chhattisgarh,235,200,436
Uttarakhand,213,383,596
Assam,429,176,604
Odisha,463,178,641
Jharkhand,270,393,662
Bihar,292,480,771
Haryana,281,623,904
Delhi,610,377,986
Punjab,448,1077,1525
Gujarat,504,1117,1622
Madhya Pradesh,778,846,1623
Andhra Pradesh,578,1502,2081
Rajasthan,1176,1153,2329
Kerala,950,1531,2481
Telangana,525,1973,2498
West Bengal,1964,874,2838
Tamil Nadu,1938,1946,3884
Maharashtra,1286,4507,5793
Karnataka,1743,4810,6553
Uttar Pradesh,1907,5129,7035
Ladakh,0,0,0
